airac 2609
ORIGIN	DEST	ROUTE	CREATION_AIRAC	AUTHOR
RKSS	RKPC	RKSS DCT BULTI Y711 DOTOL DCT RKPC	2608	LainoaSoftware
RKPC	RKSS	RKPC DCT KAMIT Y722 OLMEN DCT RKSS	2608	LainoaSoftware
YSSY	YMML	YSSY DCT SS500 DCT MITSA DCT NB539 DCT WOL J42 CB V169 BOYSE DCT YMML	2608	LainoaSoftware
OERK	OEJN	OERK DCT MERVI Z414 ASMIS T218 IMGUT M309 VEMEM DCT OEJN	2608	LainoaSoftware
OEJN	OERK	OEJN DCT EGREP B417 PATOR T532 DAW J852 ORDEM DCT OERK	2608	LainoaSoftware
YMML	YSSY	YMML DCT MNG W465 AY W335 WOLBI W377 CB W423 CULIN Y59 RIVET DCT YSSY	2608	LainoaSoftware
VVTS	VVNB	VVTS DCT BACHU W17 ATGAS M510 TIA B329 VILAO N639 BIVIM DCT VVNB	2608	LainoaSoftware
VVNB	VVTS	VVNB DCT PHUTA W3 CBI W20 MAREL Q1 DAN W1 BMT W12 RUNOP DCT VVTS	2608	LainoaSoftware
RJFF	RJTT	RJFF DCT BUTUR Y453 MARCO V56 MYE DCT FIATO Y61 KTE Y33 SHOOT Y71 XAC DCT RJTT	2608	LainoaSoftware
RJTT	RJFF	RJTT DCT BEKLA Y18 PIGAP Y88 SUGAL Y20 STOUT DCT EBISU DCT RJFF	2608	LainoaSoftware
RJTT	RJCC	RJTT DCT ROVER DCT SYE V15 AKAGI Y88 NIKKO Y880 NASNO Y117 JYONA Y11 NAVER DCT RJCC	2608	LainoaSoftware
RJCC	RJTT	RJCC DCT HWE V31 MRE V13 YACHI Y113 MEMEB Y320 RUBIS Y10 GODIN DCT RJTT	2608	LainoaSoftware
FAOR	FACT	FAOR DCT NESAN DCT UTRUK A405 APDUR DCT EVESI Q10 DUMDO UZ26 ERDAS DCT FACT	2608	LainoaSoftware
FACT	FAOR	FACT DCT OKTED Q12 XANDA UZ4 TEVAR UZ2 NIBEX DCT FAOR	2608	LainoaSoftware
VABB	VIDP	VABB DCT AAU W75 IID V30 EPDAD W122 JJP R218 UKASO DCT VIDP	2608	LainoaSoftware
VIDP	VABB	VIDP DCT AKRIB Q23 IKAVA V12 KO W95 PRA A474 AKTIV DCT VABB	2608	LainoaSoftware
VHHH	RCTP	VHHH DCT DALOL V631 ENVAR M750 TONGA DCT RCTP	2608	LainoaSoftware
RCTP	VHHH	RCTP DCT CHALI T3 MKG A1 ELATO V522 ABBEY DCT VHHH	2608	LainoaSoftware
ZSSS	ZGSZ	ZSSS DCT ADBAS DCT HC207 DCT DUBGO W134 ELNEX A599 PLT W19 NOMAR DCT GG538 DCT IDUMA W22 GUBLO DCT BEKOL DCT ZGSZ	2608	LainoaSoftware
ZGSZ	ZSSS	ZGSZ DCT SULAS V17 UBDOB V18 XEBUL G471 PLT V171 SHR A599 ELNEX G204 MULOV V73 SUPAR DCT ZSSS	2608	LainoaSoftware
WADD	WIII	WADD DCT OKANG T4 WAWAN DCT LASEM M766 IMU DCT WIII	2608	LainoaSoftware
YSSY	YBBN	YSSY DCT OLSEM H252 WLM V535 LOSKU H140 IDNER H66 BLAKA DCT YBBN	2608	LainoaSoftware
YBBN	YSSY	YBBN DCT SANEG H91 HUUGO W128 SANAD DCT YSSY	2608	LainoaSoftware
WIII	WADD	WIII DCT CA T3 ANY G461 BA T3 MOVMO DCT WADD	2608	LainoaSoftware
ZSSS	ZGGG	ZSSS DCT ADBAS DCT HC207 DCT DUBGO W134 ELNEX A599 PLT W19 OLPAB DCT ZGGG	2608	LainoaSoftware
